Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0.16,-0.0415819859826139,-0.0345333027612232,78.125,-54.5495630342787,-59.5923183613656
0.161,-0.038692988132461,0.0861678788106072,78.61328125,-50.8921136587078,-56.4958400009556
0.162,-0.0309509205328501,0.155044013801646,79.1015625,-50.2477968641658,-56.4208802614811
0.163,-0.0243154782012631,0.139494547362526,79.58984375,-51.83342558999,-59.4166918251159
0.164,-0.0232249047940074,0.0358688344582326,80.078125,-52.9214482611716,-59.79366922769
0.165,-0.028804410248768,-0.126764560886468,80.56640625,-52.9421078723786,-59.9838406585611
0.166,-0.0384805964340372,-0.294918921755808,81.0546875,-53.8299771450404,-60.2329577690605
0.167,-0.0470886670699842,-0.40754904521253,81.54296875,-53.015108588309,-59.2616788677943
0.168,-0.0489591424978484,-0.415359178249466,82.03125,-52.3126849291866,-59.9294626866604
0.169,-0.0401571461142359,-0.296354028251576,82.51953125,-53.5539779122615,-60.8715736426922
0.17,-0.0200804942713796,-0.0631752974605077,83.0078125,-53.7692623220451,-60.5963219134827
0.171,0.00809906908422648,0.239549533326837,83.49609375,-55.0868047089072,-61.2862040155272
0.172,0.038270707857872,0.546882984748587,83.984375,-57.7603898827164,-62.6778869186849
0.173,0.0632004550203352,0.791042594937171,84.47265625,-55.543932248694,-61.8825170746997
0.174,0.0767152793274478,0.919697967462588,84.9609375,-55.1498037199451,-62.6531812168806
0.175,0.0755358787032627,0.909419981006154,85.44921875,-56.2057471502556,-64.1574804494863
0.176,0.0601856619587082,0.769784043174468,85.9375,-55.6891916653984,-64.1795662874297
0.177,0.0347342443084858,0.536869427432269,86.42578125,-55.1199719545324,-63.5265655781321
0.178,0.00551110048415812,0.25904398224292,86.9140625,-53.0121625053291,-60.8429916852931
0.179,-0.0207810842417079,-0.0188411697863707,87.40234375,-50.4301839587908,-58.5165819848658
0.18,-0.0389792549285499,-0.266162655068414,87.890625,-50.4044218921137,-58.6921819321665
0.181,-0.0468299450576681,-0.468321954563106,88.37890625,-51.8549540690753,-60.0724391077794
0.182,-0.0453887368996747,-0.620738845803327,88.8671875,-52.7968900173749,-61.1919023093332
0.183,-0.0383055572999242,-0.720156123889529,89.35546875,-53.4405910081685,-62.3343913612305
0.184,-0.0302434564691391,-0.759089963912039,89.84375,-53.5766920426873,-62.7681636042414
0.185,-0.0250279112700071,-0.72669909543191,90.33203125,-52.9506416114138,-63.2422558011633
