Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0.175,-1.00270209743111,0.721624174085483,21.3623046875,-48.4468979024044,-56.4805724825048
0.176,-0.614815965895145,0.844004194426945,21.484375,-46.1501173080651,-55.6562143321068
0.177,-0.327098710332626,0.960471099464674,21.6064453125,-45.7795237785303,-55.5808221072213
0.178,-0.169446562383146,1.05879552373715,21.728515625,-44.9042202641022,-54.2698566948539
0.179,-0.158238519838308,1.12824676093257,21.8505859375,-42.331202371557,-53.5230212687783
0.18,-0.294857402400582,1.1603170689531,21.97265625,-42.6830328811602,-53.9041561758718
0.181,-0.565697201700611,1.14919353879325,22.0947265625,-41.950861122617,-53.2467773945768
0.182,-0.943641589217647,1.09203431078276,22.216796875,-43.880915767614,-55.3143871753189
0.183,-1.39085573815839,0.989123479473555,22.3388671875,-46.2973449546374,-57.3674267135075
0.184,-1.8626074041128,0.843949878761553,22.4609375,-45.2404813512231,-58.2875811658195
0.185,-2.31173521522349,0.663194916482629,22.5830078125,-42.2876792563559,-55.7684578465406
0.186,-2.69332209265946,0.456556177289353,22.705078125,-42.823208882109,-54.4905977335087
0.187,-2.9691161718936,0.236310498048535,22.8271484375,-43.0445308917548,-53.1645536814902
0.188,-3.11127227587551,0.0165466570388362,22.94921875,-45.6570107915665,-55.4838184486883
0.189,-3.10506001741066,-0.187938716611303,23.0712890625,-47.5011558837567,-54.552323508345
0.19,-2.9502908613831,-0.363011056887285,23.193359375,-45.456198082575,-53.6518446623759
0.191,-2.66134323119184,-0.496688579386903,23.3154296875,-46.0965262020436,-55.2981692358158
0.192,-2.26579827371337,-0.580548253214187,23.4375,-47.2619569684665,-56.9053631278227
0.193,-1.80182712950358,-0.610807188858444,23.5595703125,-46.6091580097741,-56.8266892086726
0.194,-1.31458409085066,-0.588853411550648,23.681640625,-45.7551141700792,-55.5314684095269
0.195,-0.851951074836212,-0.521082178570392,23.8037109375,-46.5841982294668,-56.2983479959808
0.196,-0.460039655959037,-0.418037068652176,23.92578125,-47.1905355408438,-55.5228401139333
0.197,-0.17887998400135,-0.293013214145267,24.0478515625,-46.3926562361461,-55.4769942692203
0.198,-0.0387064091186837,-0.160394075671318,24.169921875,-44.6010441812579,-54.3394274159844
0.199,-0.0571881161338639,-0.0340260367290387,24.2919921875,-43.342107082872,-53.1228183071958
0.2,-0.237856181114571,0.0741141485276089,24.4140625,-45.9917607132674,-54.775912555138
0.201,-0.569857403269093,0.154808537046666,24.5361328125,-45.7487418086931,-54.9954865802505
0.202,-1.0290337318942,0.202014316739696,24.658203125,-44.4364139017217,-55.2859019257632
0.203,-1.58019867119877,0.212880776803852,24.7802734375,-49.6580718943474,-59.9800137630321
0.204,-2.18037257360463,0.187503940416841,24.90234375,-50.3950328338007,-58.6245632945065
