,,,,,,50-70,,70-90,,90-110,,110-130,
ECG RR interval,BCG RR interval,,Mean interval,Difference,,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC
0.806,0.8,,0.803,0.006,,,,,,,,,
0.804,0.785,,0.7945,0.019,,,,,,,,,
0.844,0.81,,0.827,0.034,,,,,,,,,
0.822,0.81,,0.816,0.012,,,,,,,,,
0.678,0.675,,0.6765,0.003,,,,,,,,,
0.722,0.7,,0.711,0.022,,,,,,,,,
0.762,0.745,,0.7535,0.017,,,,,,,,,
0.818,0.815,,0.8165,0.003,,,,,,,,,
0.86,0.83,,0.845,0.03,,,,,,,,,
0.876,0.86,,0.868,0.016,,,,,,,,,
0.902,0.885,,0.8935,0.017,,,,,,,,,
0.902,0.885,,0.8935,0.017,,,,,,,,,
0.88,0.875,,0.8775,0.005,,,,,,,,,
0.9,0.88,,0.89,0.02,,,,,,,,,
0.92,0.9,,0.91,0.02,,,,,,,,,
0.92,0.9,,0.91,0.02,,,,,,,,,
0.92,0.895,,0.9075,0.025,,,,,,,,,
0.918,0.91,,0.914,0.008,,,,,,,,,
0.924,0.905,,0.9145,0.019,,,,,,,,,
0.88,0.86,,0.87,0.02,,,,,,,,,
0.88,0.87,,0.875,0.01,,,,,,,,,
0.896,0.88,,0.888,0.016,,,,,,,,,
0.942,0.915,,0.9285,0.027,,,,,,,,,
0.92,0.91,,0.915,0.01,,,,,,,,,
0.938,0.91,,0.924,0.028,,,,,,,,,
0.922,0.9,,0.911,0.022,,,,,,,,,
0.92,0.9,,0.91,0.02,,,,,,,,,
0.88,0.865,,0.8725,0.015,,,,,,,,,
0.84,0.83,,0.835,0.01,,,,,,,,,
0.84,0.82,,0.83,0.02,,,,,,,,,
0.84,0.825,,0.8325,0.015,,,,,,,,,
0.8,0.78,,0.79,0.02,,,,,,,,,
0.82,0.81,,0.815,0.01,,,,,,,,,
0.84,0.82,,0.83,0.02,,,,,,,,,
0.858,0.845,,0.8515,0.013,,,,,,,,,
1.014,1.015,,1.0145,-0.001,,,,,,,,,
0.998,1.01,,1.004,-0.012,,,,,,,,,
1.054,1.035,,1.0445,0.019,,,,,,,,,
1.092,1.09,,1.091,0.002,,,,,,,,,
1.092,1.105,,1.0985,-0.013,,,,,,,,,
1.09,1.11,,1.1,-0.02,,,,,,,,,
1.114,1.095,,1.1045,0.019,,,,,,,,,
1.094,1.11,,1.102,-0.016,,,,,,,,,
1.092,1.105,,1.0985,-0.013,,,,,,,,,
1.11,1.115,,1.1125,-0.005,,,,,,,,,
1.114,1.115,,1.1145,-0.001,,,,,,,,,
1.11,1.115,,1.1125,-0.005,,,,,,,,,
1.152,1.15,,1.151,0.002,,,,,,,,,
1.154,1.165,,1.1595,-0.011,,,,,,,,,
1.11,1.125,,1.1175,-0.015,,,,,,,,,
1.134,1.13,,1.132,0.004,,,,,,,,,
1.074,1.105,,1.0895,-0.031,,,,,,,,,
1.13,1.125,,1.1275,0.005,,,,,,,,,
1.132,1.13,,1.131,0.002,,,,,,,,,
1.152,1.155,,1.1535,-0.003,,,,,,,,,
1.174,1.165,,1.1695,0.009,,,,,,,,,
1.092,1.12,,1.106,-0.028,,,,,,,,,
1.17,1.165,,1.1675,0.005,,,,,,,,,
1.154,1.15,,1.152,0.004,,,,,,,,,
1.152,1.17,,1.161,-0.018,,,,,,,,,
1.152,1.155,,1.1535,-0.003,,,,,,,,,
1.15,1.165,,1.1575,-0.015,,,,,,,,,
1.132,1.14,,1.136,-0.008,,,,,,,,,
1.112,1.125,,1.1185,-0.013,,,,,,,,,
