Time_s,Ground_Truth_Amplitude,Measured_Amplitude,Frequency_Hz,Measured_PSD_dBHz,Ground_Truth_PSD_dBHz
0.236,0.42083613459959,0.512833750076279,115.234375,-80.1100400909002,-80.3603805698979
0.237,0.40951784061073,0.514524486558198,115.72265625,-90.8064169778743,-77.2037500690364
0.238,0.412890449465323,0.516353819994914,116.2109375,-77.1725653690091,-75.246497811597
0.239,0.425847792677527,0.518326663400637,116.69921875,-75.2514787205357,-76.0941377127164
0.24,0.43466089141566,0.520447779338934,117.1875,-78.928940846489,-78.5176358157588
0.241,0.435744914161913,0.522721753071524,117.67578125,-99.9033041377739,-80.4127454495454
0.242,0.4333343241309,0.525152965764941,118.1640625,-78.1839797086184,-77.5095525336467
0.243,0.423503710916283,0.527745567929764,118.65234375,-75.3441334345918,-74.0420734547821
0.244,0.433778040296903,0.530503453273496,119.140625,-78.0229162559441,-73.2740285319031
0.245,0.418822052159073,0.53343023315146,119.62890625,-97.1493072257382,-75.2791196917391
0.246,0.434663991252257,0.536529211796564,120.1171875,-79.4227398479834,-77.0748746236094
0.247,0.43956635446869,0.539803362497687,120.60546875,-75.5524849166664,-75.8992207143744
0.248,0.41592874026838,0.54325530487977,121.09375,-77.3323788643008,-76.3766850971786
0.249,0.428620670393087,0.546887283421064,121.58203125,-89.8989241876801,-76.5040188980696
0.25,0.407836077449693,0.550701147328577,122.0703125,-80.9560013646274,-74.8276120678572
0.251,0.42614326110591,0.554698331883701,122.55859375,-75.8786285639906,-76.5912910002692
0.252,0.417824470353537,0.5588798413656,123.046875,-76.819486077532,-77.2910521179531
0.253,0.421574427389637,0.563246233658772,123.53515625,-86.0479642446042,-76.3396116934965
0.254,0.40862205695768,0.567797606651985,124.0234375,-82.8982103541643,-77.3163891208241
0.255,0.414911808135523,0.5725335865376,124.51171875,-76.3281344465359,-73.809717921993
0.256,0.406488155619533,0.577453318121964,125,-76.4593440497226,-77.0547044952657
0.257,0.413346714628027,0.582555457256218,125.48828125,-83.5257786035213,-79.4953792867704
0.258,0.40147748953894,0.587838165488825,125.9765625,-85.46626684413,-84.4144916529897
0.259,0.428598546079597,0.593299107023575,126.46484375,-76.9106974732022,-77.3147191616715
0.26,0.423949760511993,0.598935448040039,126.953125,-76.2354080607035,-75.0169768315816
0.261,0.427205157937363,0.604743858401378,127.44140625,-81.7128359280978,-78.2697679816536
0.262,0.434705210570633,0.610720515742558,127.9296875,-89.1481385802553,-77.9020273628875
